,key,found_sentences
0,independent,8
1,polymorphic,7
2,controlling,8
3,agrobacterium,8
4,polymorphism,5
5,experiments,7
6,polymorphisms,6
7,parviflorum,0
8,breedingplant,0
9,lycopersicum,0
10,lengthening,4
11,characterized,8
12,tetramethyl,0
13,trichalcogen,0
14,interactions,8
15,coordination,7
16,aryltellurium,0
17,preparations,9
18,heteropolychalcogenide,0
19,dimethoxyphenyl,0
20,preamplifier,0
21,complementary,9
22,pirenzepine,0
23,stimulating,6
24,methamphetamine,2
25,independently,7
26,facilitates,8
27,quantitative,8
28,preferences,6
29,intelligence,7
30,constructed,8
31,milliseconds,6
32,nonspecific,9
33,histopathology,8
34,downregulate,6
35,administrated,8
36,excitability,7
37,investigating,6
38,identification,8
39,substitution,7
40,transduction,7
41,microelectrode,2
42,chronically,8
43,investigating,6
44,categorization,9
45,differentiation,8
46,functioning,8
47,transforming,9
48,prominently,8
49,multiregional,0
50,reconstructed,7
51,engineering,8
52,localization,5
53,optimization,9
54,approximate,8
55,application,3
56,representing,7
57,implemented,7
58,projections,10
59,experimental,7
60,radioisotope,2
61,facilitated,8
62,conjunctival,6
63,gastrointestinal,7
64,scintigraphy,7
65,predominantly,5
66,nonpalpable,0
67,endometrial,8
68,malignancies,6
69,intraoperative,6
70,positioning,7
71,termination,6
72,localization,5
73,zooflagellates,0
74,deleterious,10
75,duplications,3
76,stabilising,7
77,planctobacteria,2
78,immediately,7
79,independently,7
80,lymphotropic,8
81,transcription,5
82,mesenchymal,7
83,oncoprotein,4
84,phosphatase,7
85,transactivation,8
86,facilitating,5
87,transactivator,7
88,interleukin,5
89,dimerization,2
90,melanogaster,9
91,proteoglycan,9
92,tetranectin,1
93,transmembrane,9
94,evolutionary,6
95,identifiers,8
96,duplication,3
97,substitutions,7
98,duplications,3
99,orthologues,6
100,interference,8
101,identification,8
102,relationship,3
103,nucleotides,8
104,complementarity,8
105,transcribed,8
106,medulloblastoma,8
107,application,3
108,statistical,8
109,approximately,9
110,information,8
111,independent,8
112,identifying,7
113,transcription,5
114,hybridizations,5
115,evolutionary,6
116,predictions,8
117,constraints,6
118,understanding,7
119,incorporated,8
120,identifying,7
121,conductance,5
122,indications,7
123,transcription,5
124,physiological,6
125,significantly,6
126,transporter,5
127,understanding,7
128,significance,8
129,specialized,6
130,replication,7
131,orthologous,6
132,interactions,8
133,euascomycete,2
134,correlation,6
135,experiments,7
136,transcripts,8
137,biosynthesis,8
138,corresponding,9
139,specificity,5
140,prospective,7
141,epidemiological,8
142,restriction,7
143,intervention,6
144,proliferation,9
145,consumption,9
146,administered,7
147,carbohydrates,5
148,significantly,6
149,endometrial,8
150,comparisons,6
151,corticosteroid,8
152,kankaanranta,0
153,beclomethasone,5
154,improvements,4
155,experienced,4
156,ciclesonide,2
157,leukotriene,5
158,unfortunately,9
159,stimulation,7
160,regeneration,6
161,corticosteroids,8
162,inflammatory,5
163,enlargement,8
164,proliferation,9
165,neutrophilia,7
166,inflammation,7
167,significant,6
168,responsiveness,7
169,recruitment,9
170,carbohydrates,5
171,triglyceride,8
172,controlling,8
173,proliferation,9
174,lipodystrophies,2
175,metabolically,5
176,distribution,9
177,postmenopausal,10
178,improvements,4
179,generalized,7
180,progression,7
181,transferred,8
182,radiolabeled,8
183,replication,7
184,concentrations,7
185,stimulation,7
186,pharmacologically,8
187,concentration,7
188,interleukin,5
189,lymphocytes,6
190,investigators,6
191,immunofluorescence,8
192,fluorescence,8
193,particularly,7
194,occasionally,6
195,irrespective,8
196,demonstrated,9
197,autoantibody,6
198,autoantibodies,3
199,significance,8
200,hildenborough,0
201,transcriptional,6
202,enterobacteria,7
203,desulfovibrio,8
204,prokaryotes,8
205,alternative,7
206,characterized,8
207,desulfuricans,2
208,metallireducens,1
209,orthologous,6
210,comparisons,6
211,interesting,7
212,conservation,7
213,deadenylation,7
214,duplication,3
215,transcription,5
216,examination,7
217,corresponding,9
218,transcribed,8
219,interaction,8
220,representing,7
221,normalization,9
222,amplification,7
223,translation,8
224,melanogaster,9
225,transcripts,8
226,microtubules,8
227,maintenance,9
228,communication,6
229,identification,8
230,mitochondrial,8
231,transporter,5
232,chloramphenicol,7
233,phosphorylate,9
234,transduction,7
235,glucocorticoid,9
236,transcription,5
237,thioredoxin,8
238,permeability,9
239,morphological,4
240,hydroxysteroid,4
241,dehydrogenase,6
242,proopiomelanocortin,0
243,relationship,3
244,cardiovascular,8
245,glucocorticoid,9
246,carbenoxolone,3
247,sensitivity,4
248,vasoconstriction,8
249,orientation,6
250,effectiveness,9
251,gastroenterology,2
252,prospective,7
253,supplemented,8
254,intolerance,6
255,permeability,9
256,quantitative,8
257,nutritional,8
258,retrospective,7
259,pregestemil,0
260,independent,8
261,transcription,5
262,reconstruct,9
263,interactions,8
264,constraints,6
265,corresponding,9
266,conservation,7
267,development,5
268,invertebrate,5
269,represented,7
270,perspectives,9
271,tuberculosis,8
272,capillaries,7
273,transmission,3
274,schizophrenic,6
275,inflammatory,5
276,perturbations,6
277,neuropsychiatry,7
278,abnormalities,5
279,permeability,9
280,glucocorticoid,9
281,nucleocapsid,7
282,interacting,8
283,nucleoporins,6
284,interactions,8
285,efficiently,7
286,replication,7
287,progression,7
288,nucleoporin,3
289,involvement,7
290,predisposing,8
291,dinucleotide,9
292,interactions,8
293,differences,10
294,thyrotropin,2
295,substitution,7
296,polymorphism,5
297,polymorphisms,6
298,preferential,8
299,particularly,7
